videoid, locationurl , filesize,,
6523, NASASF-SolarFlaresAndOtherSunActivity.mpg ,313.77,,
6524, NASASF-SpaceWeather.mpg ,346.73,,
6525, NASADT16.mpg ,1199.33,,
6529, NASADT17.mpg ,1213.93,,
6533, NASADT20.mpg ,1228.81,,
6538, NASAConnect-GoodStress.mpg ,1226.59,,
6544, NASAConnect-RocketToTheStars.mpg ,1229.62,,
6549, NASASF-TheOceanOdyssey.mpg ,2540.8,,
6550, NASASF-TidesAndWaves.mpg ,138.06,,
6551, NASASF-Oceans.mpg ,108.13,,
6552, NASASF-DensityCurrent.mpg ,114.25,,
6553, NASASF-SurfaceCurrent.mpg ,191.4,,
6554, NASASF-VelocityOfCurrent.mpg ,116.33,,
6555, NASASF-Oil.mpg ,116.53,,
6556, NASASF-OilExplorationAndProduction.mpg ,99.96,,
6557, NASASF-OceanTopology.mpg ,129.6,,
6558, NASASF-OceanPressure.mpg ,77.64,,
6559, NASASF-OilCleanUp.mpg ,84.52,,
6560, NASASF-ImpactOfAnOilSpill.mpg ,151.55,,
6561, NASASF-CoastalCurrents.mpg ,111.14,,
6562, NASASF-TheZanyAnimalAntics.mpg ,2543.54,,
6563, NASASF-AnimalKingdom.mpg ,773.21,,
6564, NASASF-ReproductionMigrationAndBasicNeeds.mpg ,569.95,,
6565, NASASF-AnimalPopulationsAndHabitats.mpg ,536.34,,
6566, NASASF-EndangeredSpecies.mpg ,658.73,,
6567, NASASF-TheGreatSpaceExploration.mpg ,2542.99,,
6568, NASASF-RoboticMissionsAndMaterialsUsedInSpace.mpg ,549.11,,
6569, NASASF-DietExerciseAndLongTermSpaceTravel.mpg ,692.91,,
6570, NASASF-RadiationSpacecraftMaterialsAndPropulsion.mpg ,743.44,,
6571, NASASF-SpaceInnovationsAndSimulations.mpg ,554.46,,
6572, NASAConnect-TheRightRatioOfRest-ProportionalReasoning.mpg ,1227.79,,
,,,,
