videoid, locationurl ,compressionfiletype, filesize,
10287,http://www.ibiblio.org/openvideo/video/infoinlife/helen_Tibbo.mp4,4,123.1,
10288,http://www.ibiblio.org/openvideo/video/infoinlife/williamferris.mp4,4,90.7,
10289,http://www.ibiblio.org/openvideo/video/infoinlife/BarbaraMoran.mp4,4,99.9,
10290,http://www.ibiblio.org/openvideo/video/infoinlife/DeborahBarreau.mp4,4,70.5,
10291,http://www.ibiblio.org/openvideo/video/infoinlife/DonKing.mp4,4,198.9,
10292,http://www.ibiblio.org/openvideo/video/infoinlife/Javed_Mostafa.mp4,4,70.4,
10293,http://www.ibiblio.org/openvideo/video/infoinlife/rebeccavargha.mp4,4,60.2,
10294,http://www.ibiblio.org/openvideo/video/infoinlife/DocSeminarAnneBishop.mp4,4,69.4,
10295,http://www.ibiblio.org/openvideo/video/infoinlife/DocSeminar-Chirag_shah.mp4,4,110.7,
10296,http://www.ibiblio.org/openvideo/video/infoinlife/DocSeminar-Jackson_Fox.mp4,4,92.9,
10297,http://www.ibiblio.org/openvideo/video/infoinlife/DocSeminarJewel_Ward.mp4,4,66.4,
10298,http://www.ibiblio.org/openvideo/video/infoinlife/DocSeminar-John_Schaefer.mp4,4,111.5,
10299,http://www.ibiblio.org/openvideo/video/infoinlife/DocSeminar-Lori_Eakin.mp4,4,97.5,
10300,http://www.ibiblio.org/openvideo/video/infoinlife/DocSeminarTessa_Sullivan.mp4,4,66.8,
10301,http://www.ibiblio.org/openvideo/video/infoinlife/DocSeminarYaxiaoSong.mp4,4,76.6,
10302,http://www.ibiblio.org/openvideo/video/infoinlife/JimmyWalesTalk.mp4,4,125.2,
10303,http://www.ibiblio.org/openvideo/video/infoinlife/JimmyWalesQA.mp4,4,96.8,
10304,http://www.ibiblio.org/openvideo/video/infoinlife/SivaVaidhyanathan.mp4,4,287.3,
10305,http://www.ibiblio.org/openvideo/video/infoinlife/AIDS-Doc-V2.mov,6,25.5,
10306,http://www.ibiblio.org/openvideo/video/infoinlife/RobertFu.mp4,4,96,
10307,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Amber-Cushing.mp4,4,47.4,
10309,http://www.ibiblio.org/openvideo/video/infoinlife/INLS-Simon-Spiro.mp4,4,78.6,
10310,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Hollie-White.mp4,4,98.2,
10311,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Jacob-Kramer-Duffield.mp4,4,105.9,
10312,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Cindy-Schmidt.mp4,4,102.7,
10313,http://www.ibiblio.org/openvideo/video/infoinlife/INLS818-Biometrics.mp4,4,155.5,
10317,http://www.ibiblio.org/openvideo/video/infoinlife/TLT_Presentation_Lip_Sync.mp4,4,34.1,
10318,http://www.ibiblio.org/openvideo/video/infoinlife/UNC-CH_TLT_Machinima.mp4,4,24.9,
10319,http://www.ibiblio.org/openvideo/video/infoinlife/RayDiessenIBM.mp4,4,354.2,
10320,http://www.ibiblio.org/openvideo/video/infoinlife/FENCHEN.mp4,4,172.57,
10321,http://www.ibiblio.org/openvideo/video/infoinlife/CliffMisser.mp4,4,203.2,
10322,http://www.ibiblio.org/openvideo/video/infoinlife/NeoNote-For-YouTube.mp4,4,19.9,
10323,http://www.ibiblio.org/openvideo/video/infoinlife/malcolmbrown.mp4,4,297.3,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
